username,repo_name,stars,repo_url
metabase,metabase,25900,https://github.com/metabase/metabase
eclipse,deeplearning4j,12200,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11600,https://github.com/LightTable/LightTable
kanaka,mal,8100,https://github.com/kanaka/mal
lk-geimfari,awesomo,8000,https://github.com/lk-geimfari/awesomo
logseq,logseq,5900,https://github.com/logseq/logseq
penpot,penpot,4800,https://github.com/penpot/penpot
tonsky,datascript,4300,https://github.com/tonsky/datascript
reagent-project,reagent,4300,https://github.com/reagent-project/reagent
riemann,riemann,4100,https://github.com/riemann/riemann
weavejester,compojure,3900,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3700,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3600,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,3300,https://github.com/ring-clojure/ring
status-im,status-react,3200,https://github.com/status-im/status-react
clojure-emacs,cider,3200,https://github.com/clojure-emacs/cider
bhauman,lein-figwheel,2900,https://github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2800,https://github.com/tallesl/Rich-Hickey-fanclub
viebel,klipse,2800,https://github.com/viebel/klipse
twosigma,beakerx,2600,https://github.com/twosigma/beakerx
pedestal,pedestal,2400,https://github.com/pedestal/pedestal
weavejester,hiccup,2300,https://github.com/weavejester/hiccup
razum2um,awesome-clojure,2200,https://github.com/razum2um/awesome-clojure
http-kit,http-kit,2200,https://github.com/http-kit/http-kit
babashka,babashka,2200,https://github.com/babashka/babashka
onyx-platform,onyx,2000,https://github.com/onyx-platform/onyx
anmonteiro,lumo,1800,https://github.com/anmonteiro/lumo
defold,defold,1800,https://github.com/defold/defold
boot-clj,boot,1700,https://github.com/boot-clj/boot
ptaoussanis,sente,1600,https://github.com/ptaoussanis/sente
