username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,27400,https://github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6700,https://github.com/covid19india/covid19india-react
nytimes,covid-19-data,6600,https://github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6200,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,4300,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2700,https://github.com/ieee8023/covid-chestxray-dataset
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
geohot,corona,2100,https://github.com/geohot/corona
ahmadawais,corona-cli,1800,https://github.com/ahmadawais/corona-cli
corona-warn-app,cwa-server,1800,https://github.com/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1400,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1400,https://github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios
github,covid19-dashboard,1300,https://github.com/github/covid19-dashboard
pomber,covid19,1200,https://github.com/pomber/covid19
FoldingAtHome,coronavirus,1100,https://github.com/FoldingAtHome/coronavirus
datasets,covid-19,1100,https://github.com/datasets/covid-19
chrismattmann,tika-python,1100,https://github.com/chrismattmann/tika-python
lindawangg,COVID-Net,1000,https://github.com/lindawangg/COVID-Net
chandrikadeb7,Face-Mask-Detection,987,https://github.com/chandrikadeb7/Face-Mask-Detection
covidpass-org,covidpass,965,https://github.com/covidpass-org/covidpass
ImperialCollegeLondon,covid19model,931,https://github.com/ImperialCollegeLondon/covid19model
cyberman54,ESP32-Paxcounter,913,https://github.com/cyberman54/ESP32-Paxcounter
UCSD-AI4H,COVID-CT,877,https://github.com/UCSD-AI4H/COVID-CT
makers-for-life,makair,732,https://github.com/makers-for-life/makair
neuml,paperai,641,https://github.com/neuml/paperai
globalcitizen,2019-wuhan-coronavirus-data,625,https://github.com/globalcitizen/2019-wuhan-coronavirus-data
pallupz,covid-vaccine-booking,621,https://github.com/pallupz/covid-vaccine-booking
