username,repo_name,stars,repo_url
atom,atom,56000,https://github.com/atom/atom
themerdev,themer,4300,https://github.com/themerdev/themer
nteract,hydrogen,3700,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3400,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,3100,https://github.com/miniflux/v2
atom,teletype,2300,https://github.com/atom/teletype
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,1700,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
ocaml,merlin,1300,https://github.com/ocaml/merlin
kurtmckee,feedparser,1300,https://github.com/kurtmckee/feedparser
MagicStack,MagicPython,1300,https://github.com/MagicStack/MagicPython
atom,apm,1200,https://github.com/atom/apm
file-icons,atom,1200,https://github.com/file-icons/atom
kettanaito,atomic-layout,1000,https://github.com/kettanaito/atomic-layout
atom,github,951,https://github.com/atom/github
danhper,atomic-chrome,929,https://github.com/danhper/atomic-chrome
nmdias,FeedKit,928,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,918,https://github.com/nathanbuchar/atom-one-dark-terminal
jesseweed,seti-ui,872,https://github.com/jesseweed/seti-ui
fwcd,kotlin-language-server,767,https://github.com/fwcd/kotlin-language-server
prettier,prettier-atom,763,https://github.com/prettier/prettier-atom
raphamorim,lucario,725,https://github.com/raphamorim/lucario
atom-community,atom-script,722,https://github.com/atom-community/atom-script
jasonmunro,cypht,671,https://github.com/jasonmunro/cypht
jekyll,jekyll-feed,663,https://github.com/jekyll/jekyll-feed
lwindolf,liferea,647,https://github.com/lwindolf/liferea
